"Ref","Qnty","Value","Footprint","Part Number"
"AE1, AE2, ","2","Antenna_Dipole","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL-R-SMT-1(10)"
"C1, C2, C3, C4, C5, C6, C8, C10, C11, C30, C31, C32, C33, C37, C38, C40, C42, C43, C48, C59, C64, C65, C66, C67, C68, C73, C74, C75, C76, C77, C78, C79, C80, C82, C85, C86, C87, C89, C90, C91, C92, C93, C100, C104, ","44","100nF","Capacitor_SMD:C_0402_1005Metric","CC0402KRX7R7BB104"
"C7, C9, C53, C54, C55, C56, C69, C70, C94, ","9","22uF","Capacitor_SMD:C_0402_1005Metric","GRM155R60J226ME11D"
"C29, C99, C102, C103, ","4","10uF","Capacitor_SMD:C_0402_1005Metric","CL05A106MQ5NUNC"
"C95, C96, ","2","10pF","Capacitor_SMD:C_0402_1005Metric","CC0402JRNPO9BN100"
"C97, C98, ","2","30pF","Capacitor_SMD:C_0402_1005Metric","CC0402JRNPO9BN300"
"C101, ","1","1uF","Capacitor_SMD:C_0402_1005Metric","CL05A105KO5NNNC"
"J1, ","1","Micro_SD_Card_Det_Hirose_DM3AT","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","DM3AT-SF-PEJM5"
"J2, ","1","USB_A","Connector_USB:USB_A_Molex_67643_Horizontal","676430910"
"J3, ","1","Conn_01x07_Female","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"J4, ","1","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Q1, ","1","Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","SSM3J328R,LF"
"Q2, ","1","Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","MMBT2369ALT1G"
"R1, R2, R4, R5, ","4","1k","Resistor_SMD:R_0402_1005Metric","4-1879208-9"
"R3, R6, ","2","240R","Resistor_SMD:R_0402_1005Metric","0402WGF2400TCE"
"R7, R20, R21, R23, R24, R25, ","6","100k","Resistor_SMD:R_0402_1005Metric","CR0402-JW-104GLF"
"R22, R30, ","2","10k","Resistor_SMD:R_0402_1005Metric","RC0402JR-0710KL"
"R26, ","1","0R","Resistor_SMD:R_0402_1005Metric","RC0402JR-070RL"
"R27, R28, ","2","22R","Resistor_SMD:R_0402_1005Metric","RC0402JR-0722RL"
"R29, R31, ","2","10M","Resistor_SMD:R_0402_1005Metric","0402WGJ0106TCE"
"R32, ","1","200k","Resistor_SMD:R_0402_1005Metric","RC0402FR-07200KL"
"TP1, ","1","TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"U1, ","1","AS4C512M16D3L-12BIN","AS4C512M16D3L:Alliance_Memory-AS4C512M16D3L-12BIN-0-0-IPC_A","AS4C512M16D3L-12BIN"
"U2, ","1","A33","A33_FP:Allwinner_Technology_Co.,_Ltd.-A33-0","A33"
"U3, ","1","FSUSB42MUX","Package_SO:MSOP-10_3x3mm_P0.5mm","FSUSB42MUX"
"U4, U5, ","2","RTL8188CUS","realtek:RTL8188CUS","RTL8188CUS"
"Y1, ","1","24Mhz","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","ABM8G-24.000MHZ-18-D2Y-T"
"Y2, ","1","32.768khz","Abracon:Abracon-ABS05-0-0-MFG","ABS05-32.768KHZ-9-T"
